n,expected,c,python,java,status,time_ms_c,time_ms_py,time_ms_java,seed,mpfr,gmp,cflags,pythonhashseed
1,2,2,2,2,PASS,226.13024711608887,187.0579719543457,63.8580322265625,1337,unknown,unknown,"",0
10,29,29,29,29,PASS,33.32805633544922,119.75979804992676,63.8730525970459,1337,unknown,unknown,"",0
100,541,541,541,541,PASS,34.11388397216797,119.72689628601074,65.92988967895508,1337,unknown,unknown,"",0
1000,7919,7919,7919,7919,PASS,34.70802307128906,120.59903144836426,67.03901290893555,1337,unknown,unknown,"",0
10000,104729,104729,104729,104729,PASS,32.373905181884766,118.4549331665039,62.43491172790527,1337,unknown,unknown,"",0
100000,1299709,1299709,1299709,1299709,PASS,34.410953521728516,121.95706367492676,63.66324424743652,1337,unknown,unknown,"",0
1000000,15485863,15485863,15485863,15485863,PASS,32.151222229003906,124.5729923248291,66.30325317382812,1337,unknown,unknown,"",0
10000000,179424673,179424673,179424673,179424673,PASS,33.86378288269043,127.3660659790039,61.7070198059082,1337,unknown,unknown,"",0
100000000,2038074743,2038074743,2038074743,2038074743,PASS,34.255027770996094,120.48196792602539,61.836957931518555,1337,unknown,unknown,"",0
1000000000,22801763489,22801763489,22801763489,22801763489,PASS,32.654762268066406,121.93584442138672,73.33087921142578,1337,unknown,unknown,"",0
10000000000,252097800623,252097800623,252097800623,252097800623,PASS,34.9271297454834,121.33502960205078,64.75710868835449,1337,unknown,unknown,"",0
100000000000,2760727302517,2760727302517,2760727302517,2760727302517,PASS,32.5322151184082,125.31805038452148,64.59808349609375,1337,unknown,unknown,"",0
1000000000000,29996224275833,29996224275833,29996224275833,29996224275833,PASS,36.837100982666016,126.18112564086914,63.69471549987793,1337,unknown,unknown,"",0
10000000000000,323780508946331,323780508946331,323780508946331,323780508946331,PASS,34.355878829956055,119.9948787689209,62.4849796295166,1337,unknown,unknown,"",0
100000000000000,3475385758524527,3475385758524527,3475385758524527,3475385758524527,PASS,33.831119537353516,119.68302726745605,60.961008071899414,1337,unknown,unknown,"",0
1000000000000000,37124508045065437,37124508045065437,37124508045065437,37124508045065437,PASS,32.36198425292969,124.15790557861328,65.48404693603516,1337,unknown,unknown,"",0
10000000000000000,394906913903735329,394906913903735329,394906913903735329,394906913903735329,PASS,33.23197364807129,119.28582191467285,62.3469352722168,1337,unknown,unknown,"",0
100000000000000000,4185296581467695669,4185296581467695669,4185296581467695669,4185296581467695669,PASS,34.53230857849121,121.45376205444336,63.22908401489258,1337,unknown,unknown,"",0
1000000000000000000,44211790234832169331,44211790234832169331,44211790234832169331,44211790234832169331,PASS,34.755706787109375,120.87869644165039,63.9801025390625,1337,unknown,unknown,"",0
