n,expected,c,python,java,status,time_ms_c,time_ms_py,time_ms_java,seed,mpfr,gmp,cflags,pythonhashseed
1,2,2,2,2,PASS,189.82601165771484,177.00505256652832,67.87919998168945,1337,unknown,unknown,"",0
10,29,29,29,29,PASS,32.28282928466797,134.08780097961426,68.27807426452637,1337,unknown,unknown,"",0
100,541,541,541,541,PASS,33.41984748840332,160.68768501281738,67.28291511535645,1337,unknown,unknown,"",0
1000,7919,7919,7919,7919,PASS,33.19597244262695,163.06686401367188,67.15512275695801,1337,unknown,unknown,"",0
10000,104729,104729,104729,104729,PASS,33.31303596496582,143.3110237121582,68.64786148071289,1337,unknown,unknown,"",0
100000,1299709,1299709,1299709,1299709,PASS,31.90779685974121,152.12297439575195,68.1459903717041,1337,unknown,unknown,"",0
1000000,15485863,15485863,15485863,15485863,PASS,32.633066177368164,158.15019607543945,68.91965866088867,1337,unknown,unknown,"",0
10000000,179424673,179424673,179424673,179424673,PASS,32.6840877532959,142.03286170959473,67.30294227600098,1337,unknown,unknown,"",0
100000000,2038074743,2038074743,2038074743,2038074743,PASS,33.15305709838867,156.0499668121338,66.45321846008301,1337,unknown,unknown,"",0
1000000000,22801763489,22801763489,22801763489,22801763489,PASS,33.07199478149414,162.74595260620117,67.61693954467773,1337,unknown,unknown,"",0
10000000000,252097800623,252097800623,252097800623,252097800623,PASS,35.6900691986084,151.63707733154297,68.42184066772461,1337,unknown,unknown,"",0
100000000000,2760727302517,2760727302517,2760727302517,2760727302517,PASS,32.69314765930176,150.88200569152832,67.81291961669922,1337,unknown,unknown,"",0
1000000000000,29996224275833,29996224275833,29996224275833,29996224275833,PASS,34.147024154663086,158.16521644592285,66.8039321899414,1337,unknown,unknown,"",0
10000000000000,323780508946331,323780508946331,323780508946331,323780508946331,PASS,34.06476974487305,153.98192405700684,67.28005409240723,1337,unknown,unknown,"",0
100000000000000,3475385758524527,3475385758524527,3475385758524527,3475385758524527,PASS,33.54501724243164,142.470121383667,66.31612777709961,1337,unknown,unknown,"",0
1000000000000000,37124508045065437,37124508045065437,37124508045065437,37124508045065437,PASS,34.3470573425293,155.16901016235352,68.09806823730469,1337,unknown,unknown,"",0
10000000000000000,394906913903735329,394906913903735329,394906913903735329,394906913903735329,PASS,33.50400924682617,161.0550880432129,68.38297843933105,1337,unknown,unknown,"",0
100000000000000000,4185296581467695669,4185296581467695669,4185296581467695669,4185296581467695669,PASS,33.841848373413086,165.0848388671875,66.72525405883789,1337,unknown,unknown,"",0
1000000000000000000,44211790234832169331,44211790234832169331,44211790234832169331,44211790234832169331,PASS,33.455848693847656,152.14085578918457,67.62313842773438,1337,unknown,unknown,"",0
