n,expected,c,python,java,status,time_ms_c,time_ms_py,time_ms_java,seed,mpfr,gmp,cflags,pythonhashseed
1,2,2,2,2,PASS,-1.2649169999999992,0.11662500000000041,1.0357079999999999,1337,unknown,unknown,"",0
10,29,29,29,29,PASS,-0.729833000000001,-0.6932499999999995,-0.12037499999999896,1337,unknown,unknown,"",0
100,541,541,541,541,PASS,-1.4341249999999997,0.31970800000000016,-1.3102079999999985,1337,unknown,unknown,"",0
1000,7919,7919,7919,7919,PASS,-0.1280420000000001,0.10858300000000064,0.6981670000000013,1337,unknown,unknown,"",0
10000,104729,104729,104729,104729,PASS,-0.7993329999999993,0.5265830000000006,-0.21354099999999937,1337,unknown,unknown,"",0
100000,1299709,1299709,1299709,1299709,PASS,0.417708000000001,0.048459000000000696,0.20708300000000027,1337,unknown,unknown,"",0
1000000,15485863,15485863,15485863,15485863,PASS,1.2705829999999987,0.08370900000000125,-1.3826250000000002,1337,unknown,unknown,"",0
10000000,179424673,179424673,179424673,179424673,PASS,-0.45929200000000003,-1.0628340000000003,-0.2136250000000003,1337,unknown,unknown,"",0
100000000,2038074743,2038074743,2038074743,2038074743,PASS,-1.5355000000000003,-0.9087920000000003,0.029999999999998778,1337,unknown,unknown,"",0
1000000000,22801763489,22801763489,22801763489,22801763489,PASS,-0.997083000000001,-0.30808299999999894,-0.5921670000000011,1337,unknown,unknown,"",0
10000000000,252097800623,252097800623,252097800623,252097800623,PASS,0.49074999999999985,-0.750250000000001,0.9155420000000001,1337,unknown,unknown,"",0
100000000000,2760727302517,2760727302517,2760727302517,2760727302517,PASS,-0.7839579999999995,-0.6886670000000005,-1.1639580000000014,1337,unknown,unknown,"",0
1000000000000,29996224275833,29996224275833,29996224275833,29996224275833,PASS,-0.9529169999999993,-0.5332919999999994,0.061834000000000194,1337,unknown,unknown,"",0
10000000000000,323780508946331,323780508946331,323780508946331,323780508946331,PASS,1.434916999999999,0.19383399999999862,0.8526249999999992,1337,unknown,unknown,"",0
100000000000000,3475385758524527,3475385758524527,3475385758524527,3475385758524527,PASS,-0.23137499999999894,0.5722919999999986,1.7562920000000013,1337,unknown,unknown,"",0
1000000000000000,37124508045065437,37124508045065437,37124508045065437,37124508045065437,PASS,0.9647079999999999,-0.3701249999999989,-0.41470799999999974,1337,unknown,unknown,"",0
10000000000000000,394906913903735329,394906913903735329,394906913903735329,394906913903735329,PASS,2.722208,-0.27558300000000113,0.5461670000000002,1337,unknown,unknown,"",0
100000000000000000,4185296581467695669,4185296581467695669,4185296581467695669,4185296581467695669,PASS,0.4091670000000002,1.0124580000000007,0.03766699999999991,1337,unknown,unknown,"",0
1000000000000000000,44211790234832169331,44211790234832169331,44211790234832169331,44211790234832169331,PASS,0.13633300000000065,0.9242079999999993,0.14108399999999965,1337,unknown,unknown,"",0
