trial_id,bits,N,true_p,true_q,found_p,found_q,success,distance,elapsed_seconds,use_pruning,candidates_generated,candidates_pruned_spectral,candidates_tested_divisibility,candidates_passed_geometry
0,64,18446749854735984961,4294967969,4294967969,,,False,0.0,36.699891567230225,True,200001,100953,99048,0
1,64,18446744597695565449,4294967357,4294967357,4294967357,4294967357,True,0.009053159183182452,23.367250204086304,True,100001,24826,75175,1
2,64,18446747896230642757,4294967723,4294967759,,,False,0.0,29.257471561431885,True,200001,49139,150862,0
