trial_id,bits,N,true_p,true_q,found_p,found_q,success,distance,elapsed_seconds,use_pruning,candidates_generated,candidates_pruned_spectral,candidates_tested_divisibility,candidates_passed_geometry
0,64,18446749854735984961,4294967969,4294967969,,,False,0.0,0.09669995307922363,False,200001,0,200001,0
1,64,18446744597695565449,4294967357,4294967357,4294967357,4294967357,True,0.009053159183182452,0.04703831672668457,False,100001,0,100001,1
2,64,18446747896230642757,4294967723,4294967759,,,False,0.0,0.09700441360473633,False,200001,0,200001,0
3,64,18446746659279954409,4294967597,4294967597,4294967597,4294967597,True,0.000955059915997176,0.04781484603881836,False,100001,0,100001,1
4,64,18446751933500540521,4294968211,4294968211,,,False,0.0,0.0968179702758789,False,200001,0,200001,0
5,64,18446747380834517761,4294967681,4294967681,4294967681,4294967681,True,0.005994234884549175,0.046813011169433594,False,100001,0,100001,1
6,64,18446748952792722487,4294967861,4294967867,4294967861,4294967867,True,0.008835806655922568,0.04830312728881836,False,99998,0,99998,1
7,64,18446744717954651641,4294967371,4294967371,4294967371,4294967371,True,0.030248784558203377,0.048700809478759766,False,100001,0,100001,1
8,64,18446748583425488041,4294967821,4294967821,4294967821,4294967821,True,0.023358904129485804,0.05400872230529785,False,100001,0,100001,1
9,64,18446746298502677989,4294967549,4294967561,4294967549,4294967561,True,0.00864454423237148,0.0480806827545166,False,99995,0,99995,1
10,64,18446746659279954409,4294967597,4294967597,4294967597,4294967597,True,0.000955059915997176,0.04690408706665039,False,100001,0,100001,1
11,64,18446749854735984961,4294967969,4294967969,,,False,0.0,0.09262919425964355,False,200001,0,200001,0
12,64,18446752148248951687,4294968233,4294968239,4294968239,4294968233,True,0.024704125352961223,0.047712087631225586,False,100004,0,100004,1
13,64,18446745173221194551,4294967389,4294967459,,,False,0.0,0.09375524520874023,False,200001,0,200001,0
14,64,18446752715184762979,4294968287,4294968317,,,False,0.0,0.09707283973693848,False,200001,0,200001,0
15,64,18446744597695565449,4294967357,4294967357,4294967357,4294967357,True,0.009053159183182452,0.04844951629638672,False,100001,0,100001,1
16,64,18446749519728483379,4294967891,4294967969,,,False,0.0,0.09769582748413086,False,200001,0,200001,0
17,64,18446746161063716521,4294967539,4294967539,,,False,0.0,0.09425520896911621,False,200001,0,200001,0
18,64,18446746916978011129,4294967627,4294967627,,,False,0.0,0.0954744815826416,False,200001,0,200001,0
19,64,18446748583425488041,4294967821,4294967821,4294967821,4294967821,True,0.023358904129485804,0.04668402671813965,False,100001,0,100001,1
20,64,18446752328637618049,4294968257,4294968257,,,False,0.0,0.09548759460449219,False,200001,0,200001,0
21,64,18446748136748837261,4294967759,4294967779,,,False,0.0,0.0729832649230957,False,200001,0,200001,0
22,64,18446748325727419681,4294967791,4294967791,4294967791,4294967791,True,0.021288657348857255,0.04761052131652832,False,100001,0,100001,1
23,64,18446747896230642757,4294967723,4294967759,,,False,0.0,0.0949852466583252,False,200001,0,200001,0
24,64,18446744743724455867,4294967371,4294967377,4294967377,4294967371,True,0.009418370163737954,0.04566550254821777,False,100004,0,100004,1
