trial_id,bits,N,true_p,true_q,found_p,found_q,success,distance,elapsed_seconds,use_pruning,candidates_generated,candidates_pruned_spectral,candidates_tested_divisibility,candidates_passed_geometry
0,64,18446749854735984961,4294967969,4294967969,,,False,0.0,0.0668480396270752,False,200001,0,200001,0
1,64,18446744597695565449,4294967357,4294967357,4294967357,4294967357,True,0.009053159183182452,0.05711054801940918,False,100001,0,100001,1
2,64,18446747896230642757,4294967723,4294967759,,,False,0.0,0.09082841873168945,False,200001,0,200001,0
