trial_id,bits,N,true_p,true_q,found_p,found_q,success,distance,elapsed_seconds,use_pruning,candidates_generated,candidates_pruned_spectral,candidates_tested_divisibility,candidates_passed_geometry
0,64,18446749854735984961,4294967969,4294967969,,,False,0.0,33.41646647453308,True,200001,100953,99048,0
1,64,18446744597695565449,4294967357,4294967357,4294967357,4294967357,True,0.009053159183182452,16.63974118232727,True,100001,24826,75175,1
2,64,18446747896230642757,4294967723,4294967759,,,False,0.0,33.46790075302124,True,200001,49139,150862,0
3,64,18446746659279954409,4294967597,4294967597,4294967597,4294967597,True,0.000955059915997176,16.65568494796753,True,100001,16032,83969,1
4,64,18446751933500540521,4294968211,4294968211,,,False,0.0,33.511634349823,True,200001,49641,150360,0
5,64,18446747380834517761,4294967681,4294967681,4294967681,4294967681,True,0.005994234884549175,16.736125230789185,True,100001,32329,67672,1
6,64,18446748952792722487,4294967861,4294967867,4294967861,4294967867,True,0.008835806655922568,16.702276468276978,True,99998,4278,95720,1
7,64,18446744717954651641,4294967371,4294967371,4294967371,4294967371,True,0.030248784558203377,16.535208463668823,True,100001,24481,75520,1
8,64,18446748583425488041,4294967821,4294967821,4294967821,4294967821,True,0.023358904129485804,16.536065101623535,True,100001,24825,75176,1
9,64,18446746298502677989,4294967549,4294967561,4294967549,4294967561,True,0.00864454423237148,16.530959606170654,True,99995,5803,94192,1
10,64,18446746659279954409,4294967597,4294967597,4294967597,4294967597,True,0.000955059915997176,16.741278648376465,True,100001,16032,83969,1
11,64,18446749854735984961,4294967969,4294967969,,,False,0.0,33.507548093795776,True,200001,100953,99048,0
12,64,18446752148248951687,4294968233,4294968239,4294968239,4294968233,True,0.024704125352961223,16.745807647705078,True,100004,9183,90821,1
13,64,18446745173221194551,4294967389,4294967459,,,False,0.0,33.5844292640686,True,200001,4949,195052,0
14,64,18446752715184762979,4294968287,4294968317,,,False,0.0,33.56477665901184,True,200001,17778,182223,0
15,64,18446744597695565449,4294967357,4294967357,4294967357,4294967357,True,0.009053159183182452,16.78185272216797,True,100001,24826,75175,1
16,64,18446749519728483379,4294967891,4294967969,,,False,0.0,33.477800130844116,True,200001,2236,197765,0
17,64,18446746161063716521,4294967539,4294967539,,,False,0.0,33.40718126296997,True,200001,49632,150369,0
18,64,18446746916978011129,4294967627,4294967627,,,False,0.0,33.486825942993164,True,200001,32054,167947,0
19,64,18446748583425488041,4294967821,4294967821,4294967821,4294967821,True,0.023358904129485804,16.69453191757202,True,100001,24825,75176,1
20,64,18446752328637618049,4294968257,4294968257,,,False,0.0,33.45654058456421,True,200001,32065,167936,0
21,64,18446748136748837261,4294967759,4294967779,,,False,0.0,26.261326789855957,True,200001,27843,172158,0
22,64,18446748325727419681,4294967791,4294967791,4294967791,4294967791,True,0.021288657348857255,16.773710250854492,True,100001,24822,75179,1
23,64,18446747896230642757,4294967723,4294967759,,,False,0.0,33.39289736747742,True,200001,49139,150862,0
24,64,18446744743724455867,4294967371,4294967377,4294967377,4294967371,True,0.009418370163737954,16.649898290634155,True,100004,2477,97527,1
