generation_time,replicate,seed,success,time_seconds,total_time,trials,unique_count
0.0001628398895263672,0,42,False,8.344650268554688e-06,0.00017118453979492188,23,23
0.00010538101196289062,1,43,False,6.67572021484375e-06,0.00011205673217773438,23,23
8.821487426757812e-05,2,44,False,6.67572021484375e-06,9.489059448242188e-05,23,23
8.320808410644531e-05,3,45,False,5.7220458984375e-06,8.893013000488281e-05,23,23
0.00010514259338378906,4,46,False,6.198883056640625e-06,0.00011134147644042969,23,23
8.58306884765625e-05,5,47,False,6.198883056640625e-06,9.202957153320312e-05,23,23
7.915496826171875e-05,6,48,False,5.4836273193359375e-06,8.463859558105469e-05,23,23
7.867813110351562e-05,7,49,False,5.4836273193359375e-06,8.416175842285156e-05,23,23
7.700920104980469e-05,8,50,False,5.7220458984375e-06,8.273124694824219e-05,23,23
7.700920104980469e-05,9,51,False,5.9604644775390625e-06,8.296966552734375e-05,23,23
8.034706115722656e-05,10,52,False,6.198883056640625e-06,8.654594421386719e-05,23,23
7.987022399902344e-05,11,53,False,5.7220458984375e-06,8.559226989746094e-05,23,23
7.891654968261719e-05,12,54,False,1.3828277587890625e-05,9.274482727050781e-05,23,23
7.987022399902344e-05,13,55,False,5.245208740234375e-06,8.511543273925781e-05,23,23
9.72747802734375e-05,14,56,False,6.198883056640625e-06,0.00010347366333007812,23,23
8.082389831542969e-05,15,57,False,5.7220458984375e-06,8.654594421386719e-05,23,23
7.796287536621094e-05,16,58,False,5.4836273193359375e-06,8.344650268554688e-05,23,23
7.748603820800781e-05,17,59,False,5.7220458984375e-06,8.320808410644531e-05,23,23
7.748603820800781e-05,18,60,False,5.7220458984375e-06,8.320808410644531e-05,23,23
7.700920104980469e-05,19,61,False,5.4836273193359375e-06,8.249282836914062e-05,23,23
7.915496826171875e-05,20,62,False,5.7220458984375e-06,8.487701416015625e-05,23,23
7.653236389160156e-05,21,63,False,6.198883056640625e-06,8.273124694824219e-05,23,23
7.677078247070312e-05,22,64,False,5.7220458984375e-06,8.249282836914062e-05,23,23
7.796287536621094e-05,23,65,False,5.245208740234375e-06,8.320808410644531e-05,23,23
7.724761962890625e-05,24,66,False,5.7220458984375e-06,8.296966552734375e-05,23,23
8.749961853027344e-05,25,67,False,6.4373016357421875e-06,9.393692016601562e-05,23,23
8.034706115722656e-05,26,68,False,5.7220458984375e-06,8.606910705566406e-05,23,23
7.796287536621094e-05,27,69,False,5.245208740234375e-06,8.320808410644531e-05,23,23
7.605552673339844e-05,28,70,False,5.245208740234375e-06,8.130073547363281e-05,23,23
7.700920104980469e-05,29,71,False,5.4836273193359375e-06,8.249282836914062e-05,23,23
7.748603820800781e-05,30,72,False,5.7220458984375e-06,8.320808410644531e-05,23,23
7.653236389160156e-05,31,73,False,5.4836273193359375e-06,8.20159912109375e-05,23,23
7.557868957519531e-05,32,74,False,9.775161743164062e-06,8.535385131835938e-05,23,23
7.748603820800781e-05,33,75,False,5.7220458984375e-06,8.320808410644531e-05,23,23
7.581710815429688e-05,34,76,False,5.4836273193359375e-06,8.130073547363281e-05,23,23
0.00010943412780761719,35,77,False,6.4373016357421875e-06,0.00011587142944335938,23,23
7.772445678710938e-05,36,78,False,5.4836273193359375e-06,8.320808410644531e-05,23,23
7.510185241699219e-05,37,79,False,5.4836273193359375e-06,8.058547973632812e-05,23,23
7.510185241699219e-05,38,80,False,5.7220458984375e-06,8.082389831542969e-05,23,23
7.534027099609375e-05,39,81,False,5.7220458984375e-06,8.106231689453125e-05,23,23
7.796287536621094e-05,40,82,False,5.9604644775390625e-06,8.392333984375e-05,23,23
7.510185241699219e-05,41,83,False,5.7220458984375e-06,8.082389831542969e-05,23,23
7.557868957519531e-05,42,84,False,5.7220458984375e-06,8.130073547363281e-05,23,23
7.581710815429688e-05,43,85,False,5.4836273193359375e-06,8.130073547363281e-05,23,23
7.534027099609375e-05,44,86,False,5.4836273193359375e-06,8.082389831542969e-05,23,23
9.34600830078125e-05,45,87,False,6.4373016357421875e-06,9.989738464355469e-05,23,23
8.0108642578125e-05,46,88,False,5.7220458984375e-06,8.58306884765625e-05,23,23
7.557868957519531e-05,47,89,False,5.4836273193359375e-06,8.106231689453125e-05,23,23
7.581710815429688e-05,48,90,False,5.7220458984375e-06,8.153915405273438e-05,23,23
7.62939453125e-05,49,91,False,5.4836273193359375e-06,8.177757263183594e-05,23,23
