generation_time,replicate,seed,success,time_seconds,total_time,trials,unique_count
0.00022554397583007812,0,42,False,4.0531158447265625e-06,0.0002295970916748047,1,1
4.2438507080078125e-05,1,43,False,2.384185791015625e-06,4.482269287109375e-05,1,1
3.218650817871094e-05,2,44,False,2.1457672119140625e-06,3.4332275390625e-05,1,1
2.9325485229492188e-05,3,45,False,1.6689300537109375e-06,3.0994415283203125e-05,1,1
2.8848648071289062e-05,4,46,False,1.6689300537109375e-06,3.0517578125e-05,1,1
2.6702880859375e-05,5,47,False,1.6689300537109375e-06,2.8371810913085938e-05,1,1
4.315376281738281e-05,6,48,False,1.9073486328125e-06,4.506111145019531e-05,1,1
2.9325485229492188e-05,7,49,False,1.9073486328125e-06,3.123283386230469e-05,1,1
2.5987625122070312e-05,8,50,False,1.430511474609375e-06,2.7418136596679688e-05,1,1
2.5033950805664062e-05,9,51,False,1.430511474609375e-06,2.6464462280273438e-05,1,1
