generation_time,p,q,replicate,seed,success,time_seconds,total_time,trials,unique_count
0.00024008750915527344,29,31,0,42,True,3.814697265625e-06,0.00024390220642089844,10,10
3.6716461181640625e-05,29,31,1,43,True,2.6226043701171875e-06,3.933906555175781e-05,10,10
3.123283386230469e-05,29,31,2,44,True,2.86102294921875e-06,3.409385681152344e-05,10,10
2.9802322387695312e-05,29,31,3,45,True,2.384185791015625e-06,3.218650817871094e-05,10,10
2.9325485229492188e-05,29,31,4,46,True,2.6226043701171875e-06,3.1948089599609375e-05,10,10
2.86102294921875e-05,29,31,5,47,True,2.86102294921875e-06,3.147125244140625e-05,10,10
2.8133392333984375e-05,29,31,6,48,True,2.1457672119140625e-06,3.0279159545898438e-05,10,10
2.8371810913085938e-05,29,31,7,49,True,6.67572021484375e-06,3.504753112792969e-05,10,10
3.838539123535156e-05,29,31,8,50,True,2.1457672119140625e-06,4.0531158447265625e-05,10,10
2.7418136596679688e-05,29,31,9,51,True,2.1457672119140625e-06,2.956390380859375e-05,10,10
2.765655517578125e-05,29,31,10,52,True,2.1457672119140625e-06,2.9802322387695312e-05,10,10
3.0279159545898438e-05,29,31,11,53,True,2.384185791015625e-06,3.266334533691406e-05,10,10
2.7894973754882812e-05,29,31,12,54,True,2.384185791015625e-06,3.0279159545898438e-05,10,10
2.7418136596679688e-05,29,31,13,55,True,2.1457672119140625e-06,2.956390380859375e-05,10,10
7.605552673339844e-05,29,31,14,56,True,2.86102294921875e-06,7.891654968261719e-05,10,10
2.86102294921875e-05,29,31,15,57,True,2.1457672119140625e-06,3.075599670410156e-05,10,10
2.7894973754882812e-05,29,31,16,58,True,2.384185791015625e-06,3.0279159545898438e-05,10,10
3.24249267578125e-05,29,31,17,59,True,2.1457672119140625e-06,3.457069396972656e-05,10,10
2.8133392333984375e-05,29,31,18,60,True,2.384185791015625e-06,3.0517578125e-05,10,10
2.7179718017578125e-05,29,31,19,61,True,2.1457672119140625e-06,2.9325485229492188e-05,10,10
2.6941299438476562e-05,29,31,20,62,True,2.384185791015625e-06,2.9325485229492188e-05,10,10
2.6941299438476562e-05,29,31,21,63,True,2.1457672119140625e-06,2.9087066650390625e-05,10,10
2.7179718017578125e-05,29,31,22,64,True,2.384185791015625e-06,2.956390380859375e-05,10,10
2.6941299438476562e-05,29,31,23,65,True,2.384185791015625e-06,2.9325485229492188e-05,10,10
2.6941299438476562e-05,29,31,24,66,True,2.384185791015625e-06,2.9325485229492188e-05,10,10
3.314018249511719e-05,29,31,25,67,True,2.384185791015625e-06,3.552436828613281e-05,10,10
2.8848648071289062e-05,29,31,26,68,True,2.6226043701171875e-06,3.147125244140625e-05,10,10
2.765655517578125e-05,29,31,27,69,True,2.384185791015625e-06,3.0040740966796875e-05,10,10
2.7179718017578125e-05,29,31,28,70,True,2.1457672119140625e-06,2.9325485229492188e-05,10,10
2.7179718017578125e-05,29,31,29,71,True,2.384185791015625e-06,2.956390380859375e-05,10,10
2.956390380859375e-05,29,31,30,72,True,2.384185791015625e-06,3.1948089599609375e-05,10,10
2.765655517578125e-05,29,31,31,73,True,2.384185791015625e-06,3.0040740966796875e-05,10,10
2.765655517578125e-05,29,31,32,74,True,2.384185791015625e-06,3.0040740966796875e-05,10,10
2.6941299438476562e-05,29,31,33,75,True,2.384185791015625e-06,2.9325485229492188e-05,10,10
2.7894973754882812e-05,29,31,34,76,True,2.384185791015625e-06,3.0279159545898438e-05,10,10
2.6941299438476562e-05,29,31,35,77,True,2.1457672119140625e-06,2.9087066650390625e-05,10,10
2.6941299438476562e-05,29,31,36,78,True,2.384185791015625e-06,2.9325485229492188e-05,10,10
2.765655517578125e-05,29,31,37,79,True,2.384185791015625e-06,3.0040740966796875e-05,10,10
2.7418136596679688e-05,29,31,38,80,True,2.6226043701171875e-06,3.0040740966796875e-05,10,10
2.7418136596679688e-05,29,31,39,81,True,2.384185791015625e-06,2.9802322387695312e-05,10,10
2.6702880859375e-05,29,31,40,82,True,2.1457672119140625e-06,2.8848648071289062e-05,10,10
2.6941299438476562e-05,29,31,41,83,True,2.1457672119140625e-06,2.9087066650390625e-05,10,10
2.765655517578125e-05,29,31,42,84,True,2.384185791015625e-06,3.0040740966796875e-05,10,10
2.6702880859375e-05,29,31,43,85,True,2.1457672119140625e-06,2.8848648071289062e-05,10,10
3.170967102050781e-05,29,31,44,86,True,2.6226043701171875e-06,3.4332275390625e-05,10,10
2.6941299438476562e-05,29,31,45,87,True,2.384185791015625e-06,2.9325485229492188e-05,10,10
2.8848648071289062e-05,29,31,46,88,True,2.1457672119140625e-06,3.0994415283203125e-05,10,10
2.7179718017578125e-05,29,31,47,89,True,2.384185791015625e-06,2.956390380859375e-05,10,10
2.7179718017578125e-05,29,31,48,90,True,2.1457672119140625e-06,2.9325485229492188e-05,10,10
3.0040740966796875e-05,29,31,49,91,True,3.0994415283203125e-06,3.314018249511719e-05,10,10
