Loaded 1000 frames.
Time,I,I_dot,Z_Diagnostic
3.3000,20.0469,0.3557,-0.2924
3.3050,20.0497,0.6753,-0.5552
3.3100,20.0537,0.9504,-0.7815
3.3150,20.0590,1.1764,-0.9676
3.3200,20.0657,1.3564,-1.1160
3.3250,20.0728,1.4895,-1.2260
3.3300,20.0805,1.5821,-1.3027
3.3350,20.0883,1.6357,-1.3473
3.3400,20.0974,1.6556,-1.3643
3.3450,20.1055,1.6471,-1.3579
3.3500,20.1133,1.6158,-1.3326
3.3550,20.1216,1.5676,-1.2934
3.3600,20.1294,1.5055,-1.2426
3.3650,20.1365,1.4372,-1.1867
3.3700,20.1435,1.3625,-1.1254
3.3750,20.1500,1.2894,-1.0654
3.3800,20.1558,1.2162,-1.0053
3.3850,20.1619,1.1460,-0.9475
3.3900,20.1674,1.0755,-0.8895
3.3950,20.1731,1.0053,-0.8317
3.4000,20.1776,0.9306,-0.7701
3.4050,20.1817,0.8486,-0.7024
3.4100,20.1861,0.7534,-0.6237
3.4150,20.1898,0.6416,-0.5312
3.4200,20.1926,0.5070,-0.4198
3.4250,20.1946,0.3469,-0.2873
3.4300,20.1962,0.1593,-0.1319
3.4350,20.1967,-0.0577,0.0478
3.4400,20.1958,-0.3050,0.2526
3.4450,20.1932,-0.5791,0.4795
3.4500,20.1896,-0.8800,0.7285
3.4550,20.1844,-1.2027,0.9955
3.4600,20.1778,-1.5440,1.2775
3.4650,20.1687,-1.8995,1.5709
3.4700,20.1584,-2.2654,1.8726
3.4750,20.1464,-2.6352,2.1770
3.4800,20.1327,-3.0039,2.4799
3.4850,20.1171,-3.3679,2.7782
3.4900,20.0987,-3.7210,3.0667
3.4950,20.0794,-4.0609,3.3436
3.5000,20.0580,-4.3819,3.6041
3.5050,20.0351,-4.6803,3.8453
3.5100,20.0115,-4.9550,4.0662
3.5150,19.9856,-5.2029,4.2641
3.5200,19.9594,-5.4240,4.4396
3.5250,19.9319,-5.6183,4.5924
3.5300,19.9029,-5.7850,4.7218
3.5350,19.8740,-5.9284,4.8319
3.5400,19.8438,-6.0521,4.9252
3.5450,19.8133,-6.1575,5.0034
3.5500,19.7820,-6.2504,5.0708
3.5550,19.7507,-6.3334,5.1300
3.5600,19.7183,-6.4110,5.1842
3.5650,19.6866,-6.4870,5.2372
3.5700,19.6544,-6.5636,5.2903
3.5750,19.6214,-6.6432,5.3454
3.5800,19.5878,-6.7255,5.4023
3.5850,19.5539,-6.8113,5.4616
3.5900,19.5199,-6.8991,5.5224
3.5950,19.4844,-6.9888,5.5840
3.6000,19.4499,-7.0774,5.6447
3.6050,19.4138,-7.1637,5.7030
3.6100,19.3782,-7.2435,5.7560
3.6150,19.3417,-7.3155,5.8022
3.6200,19.3049,-7.3771,5.8400
3.6250,19.2679,-7.4272,5.8684
3.6300,19.2306,-7.4622,5.8846
3.6350,19.1932,-7.4810,5.8881
3.6400,19.1559,-7.4813,5.8769
3.6450,19.1186,-7.4635,5.8515
3.6500,19.0812,-7.4245,5.8096
3.6550,19.0440,-7.3662,5.7527
3.6600,19.0076,-7.2861,5.6794
3.6650,18.9714,-7.1853,5.5901
3.6700,18.9356,-7.0649,5.4861
3.6750,18.9006,-6.9235,5.3664
3.6800,18.8659,-6.7640,5.2332
3.6850,18.8332,-6.5868,5.0873
3.6900,18.8007,-6.3945,4.9302
3.6950,18.7690,-6.1874,4.7626
3.7000,18.7387,-5.9690,4.5870
3.7050,18.7094,-5.7422,4.4058
3.7100,18.6811,-5.5069,4.2189
3.7150,18.6538,-5.2681,4.0300
3.7200,18.6286,-5.0266,3.8400
3.7250,18.6039,-4.7846,3.6503
3.7300,18.5809,-4.5427,3.4614
3.7350,18.5589,-4.3024,3.2744
3.7400,18.5379,-4.0636,3.0891
3.7450,18.5182,-3.8273,2.9064
3.7500,18.4989,-3.5928,2.7254
3.7550,18.4821,-3.3579,2.5449
3.7600,18.4660,-3.1219,2.3640
3.7650,18.4510,-2.8837,2.1819
3.7700,18.4375,-2.6415,1.9971
3.7750,18.4247,-2.3937,1.8085
3.7800,18.4131,-2.1387,1.6149
3.7850,18.4024,-1.8748,1.4148
3.7900,18.3945,-1.6012,1.2078
3.7950,18.3872,-1.3182,0.9939
3.8000,18.3811,-1.0243,0.7721
3.8050,18.3763,-0.7219,0.5440
3.8100,18.3739,-0.4100,0.3089
3.8150,18.3729,-0.0896,0.0675
3.8200,18.3728,0.2356,-0.1775
3.8250,18.3749,0.5663,-0.4267
3.8300,18.3788,0.9010,-0.6790
3.8350,18.3840,1.2378,-0.9331
3.8400,18.3907,1.5753,-1.1881
3.8450,18.3996,1.9138,-1.4440
3.8500,18.4102,2.2511,-1.6995
3.8550,18.4220,2.5880,-1.9551
3.8600,18.4361,2.9223,-2.2093
3.8650,18.4514,3.2513,-2.4601
3.8700,18.4690,3.5753,-2.7078
3.8750,18.4875,3.8929,-2.9513
3.8800,18.5076,4.2018,-3.1889
3.8850,18.5296,4.5006,-3.4197
3.8900,18.5528,4.7898,-3.6440
3.8950,18.5769,5.0670,-3.8598
3.9000,18.6030,5.3361,-4.0705
3.9050,18.6303,5.5970,-4.2757
3.9100,18.6589,5.8517,-4.4771
3.9150,18.6894,6.1051,-4.6785
3.9200,18.7201,6.3586,-4.8808
3.9250,18.7528,6.6180,-5.0888
3.9300,18.7870,6.8865,-5.3050
3.9350,18.8213,7.1670,-5.5312
3.9400,18.8576,7.4656,-5.7727
3.9450,18.8959,7.7834,-6.0308
3.9500,18.9358,8.1231,-6.3073
3.9550,18.9769,8.4887,-6.6055
3.9600,19.0211,8.8779,-6.9246
3.9650,19.0655,9.2940,-7.2661
3.9700,19.1135,9.7343,-7.6297
3.9750,19.1635,10.1981,-8.0142
3.9800,19.2157,10.6827,-8.4182
3.9850,19.2702,11.1808,-8.8360
3.9900,19.3278,11.6893,-9.2657
3.9950,19.3874,12.1962,-9.6975
4.0000,19.4495,12.6948,-10.1263
4.0050,19.5143,13.1752,-10.5444
4.0100,19.5811,13.6268,-10.9429
4.0150,19.6507,14.0401,-11.3144
4.0200,19.7218,14.4091,-11.6533
4.0250,19.7941,14.7275,-11.9542
4.0300,19.8691,14.9923,-12.2149
4.0350,19.9443,15.2017,-12.4321
4.0400,20.0207,15.3562,-12.6065
4.0450,20.0981,15.4552,-12.7368
4.0500,20.1756,15.5026,-12.8253
4.0550,20.2528,15.4977,-12.8703
4.0600,20.3303,15.4453,-12.8759
4.0650,20.4075,15.3477,-12.8432
4.0700,20.4839,15.2077,-12.7737
4.0750,20.5597,15.0294,-12.6708
4.0800,20.6340,14.8152,-12.5354
4.0850,20.7083,14.5698,-12.3721
4.0900,20.7801,14.2954,-12.1812
4.0950,20.8506,13.9971,-11.9676
4.1000,20.9200,13.6772,-11.7331
4.1050,20.9873,13.3399,-11.4807
4.1100,21.0528,12.9882,-11.2129
4.1150,21.1171,12.6258,-10.9335
4.1200,21.1794,12.2534,-10.6424
4.1250,21.2401,11.8755,-10.3438
4.1300,21.2985,11.4920,-10.0373
4.1350,21.3547,11.1051,-9.7250
4.1400,21.4094,10.7161,-9.4085
4.1450,21.4620,10.3257,-9.0880
4.1500,21.5126,9.9336,-8.7637
4.1550,21.5605,9.5387,-8.4341
4.1600,21.6076,9.1425,-8.1014
4.1650,21.6525,8.7429,-7.7635
4.1700,21.6952,8.3384,-7.4190
4.1750,21.7360,7.9281,-7.0671
4.1800,21.7743,7.5099,-6.7061
4.1850,21.8108,7.0822,-6.3348
4.1900,21.8453,6.6445,-5.9527
4.1950,21.8781,6.1967,-5.5597
4.2000,21.9073,5.7373,-5.1544
4.2050,21.9350,5.2658,-4.7368
4.2100,21.9605,4.7833,-4.3077
4.2150,21.9826,4.2895,-3.8668
4.2200,22.0032,3.7869,-3.4170
4.2250,22.0203,3.2766,-2.9588
4.2300,22.0356,2.7595,-2.4936
4.2350,22.0482,2.2385,-2.0240
4.2400,22.0587,1.7150,-1.5514
4.2450,22.0658,1.1914,-1.0780
4.2500,22.0700,0.6685,-0.6050
4.2550,22.0721,0.1493,-0.1351
4.2600,22.0717,-0.3653,0.3306
4.2650,22.0682,-0.8737,0.7907
4.2700,22.0628,-1.3747,1.2438
4.2750,22.0546,-1.8668,1.6884
4.2800,22.0437,-2.3482,2.1227
4.2850,22.0311,-2.8201,2.5479
4.2900,22.0155,-3.2810,2.9622
4.2950,21.9983,-3.7300,3.3649
4.3000,21.9789,-4.1660,3.7550
4.3050,21.9564,-4.5903,4.1332
4.3100,21.9330,-5.0014,4.4985
4.3150,21.9064,-5.3998,4.8510
4.3200,21.8789,-5.7852,5.1907
4.3250,21.8491,-6.1580,5.5177
4.3300,21.8170,-6.5185,5.8321
4.3350,21.7840,-6.8671,6.1347
4.3400,21.7485,-7.2032,6.4244
4.3450,21.7118,-7.5288,6.7035
4.3500,21.6729,-7.8437,6.9714
4.3550,21.6333,-8.1461,7.2268
4.3600,21.5914,-8.4379,7.4711
4.3650,21.5493,-8.7170,7.7031
4.3700,21.5046,-8.9831,7.9217
4.3750,21.4591,-9.2341,8.1258
4.3800,21.4126,-9.4692,8.3146
4.3850,21.3637,-9.6857,8.4852
4.3900,21.3155,-9.8833,8.6388
4.3950,21.2651,-10.0575,8.7702
4.4000,21.2145,-10.2087,8.8810
4.4050,21.1634,-10.3345,8.9689
4.4100,21.1116,-10.4336,9.0328
4.4150,21.0587,-10.5065,9.0733
4.4200,21.0062,-10.5540,9.0917
4.4250,20.9534,-10.5772,9.0889
4.4300,20.9008,-10.5793,9.0681
4.4350,20.8474,-10.5644,9.0322
4.4400,20.7947,-10.5358,8.9851
4.4450,20.7421,-10.4989,8.9309
4.4500,20.6896,-10.4576,8.8731
4.4550,20.6372,-10.4172,8.8163
4.4600,20.5855,-10.3804,8.7630
4.4650,20.5339,-10.3512,8.7163
4.4700,20.4824,-10.3295,8.6761
4.4750,20.4310,-10.3186,8.6451
4.4800,20.3794,-10.3165,8.6214
4.4850,20.3275,-10.3230,8.6048
4.4900,20.2763,-10.3365,8.5943
4.4950,20.2245,-10.3548,8.5874
4.5000,20.1723,-10.3745,8.5815
4.5050,20.1206,-10.3923,8.5741
4.5100,20.0687,-10.4044,8.5618
4.5150,20.0167,-10.4045,8.5397
4.5200,19.9644,-10.3889,8.5045
4.5250,19.9123,-10.3499,8.4504
4.5300,19.8606,-10.2826,8.3735
4.5350,19.8099,-10.1795,8.2683
4.5400,19.7589,-10.0341,8.1292
4.5450,19.7096,-9.8404,7.9523
4.5500,19.6610,-9.5909,7.7316
4.5550,19.6133,-9.2798,7.4628
4.5600,19.5672,-8.9038,7.1437
4.5650,19.5242,-8.4593,6.7724
4.5700,19.4837,-7.9443,6.3472
4.5750,19.4451,-7.3638,5.8720
4.5800,19.4093,-6.7200,5.3490
4.5850,19.3778,-6.0224,4.7862
4.5900,19.3495,-5.2808,4.1908
4.5950,19.3246,-4.5099,3.5745
4.6000,19.3040,-3.7252,2.9494
4.6050,19.2878,-2.9397,2.3255
4.6100,19.2746,-2.1691,1.7146
4.6150,19.2661,-1.4233,1.1245
4.6200,19.2604,-0.7129,0.5630
4.6250,19.2589,-0.0415,0.0328
4.6300,19.2601,0.5892,-0.4652
4.6350,19.2648,1.1803,-0.9322
4.6400,19.2717,1.7366,-1.3721
4.6450,19.2824,2.2614,-1.7878
4.6500,19.2952,2.7620,-2.1851
4.6550,19.3100,3.2407,-2.5659
4.6600,19.3266,3.6987,-2.9313
4.6650,19.3471,4.1359,-3.2815
4.6700,19.3688,4.5479,-3.6126
4.6750,19.3921,4.9294,-3.9204
4.6800,19.4176,5.2721,-4.1984
4.6850,19.4450,5.5717,-4.4430
4.6900,19.4738,5.8205,-4.6480
4.6950,19.5033,6.0173,-4.8122
4.7000,19.5338,6.1634,-4.9366
4.7050,19.5649,6.2617,-5.0232
4.7100,19.5962,6.3163,-5.0751
4.7150,19.6277,6.3342,-5.0977
4.7200,19.6598,6.3197,-5.0944
4.7250,19.6911,6.2826,-5.0728
4.7300,19.7223,6.2237,-5.0333
4.7350,19.7536,6.1495,-4.9813
4.7400,19.7836,6.0642,-4.9198
4.7450,19.8139,5.9670,-4.8485
4.7500,19.8437,5.8618,-4.7702
4.7550,19.8728,5.7478,-4.6843
4.7600,19.9009,5.6257,-4.5912
4.7650,19.9286,5.4960,-4.4915
4.7700,19.9560,5.3607,-4.3870
4.7750,19.9820,5.2192,-4.2767
4.7800,20.0087,5.0739,-4.1631
4.7850,20.0334,4.9277,-4.0481
4.7900,20.0579,4.7838,-3.9347
4.7950,20.0809,4.6461,-3.8257
4.8000,20.1042,4.5170,-3.7238
4.8050,20.1258,4.4003,-3.6315
4.8100,20.1479,4.2982,-3.5512
4.8150,20.1689,4.2115,-3.4833
4.8200,20.1899,4.1409,-3.4286
4.8250,20.2109,4.0834,-3.3846
4.8300,20.2309,4.0386,-3.3508
4.8350,20.2508,3.9990,-3.3213
4.8400,20.2707,3.9623,-3.2939
4.8450,20.2910,3.9237,-3.2651
4.8500,20.3103,3.8788,-3.2307
4.8550,20.3296,3.8249,-3.1888
4.8600,20.3488,3.7622,-3.1394
4.8650,20.3671,3.6897,-3.0815
4.8700,20.3852,3.6096,-3.0173
4.8750,20.4030,3.5254,-2.9494
4.8800,20.4206,3.4384,-2.8791
4.8850,20.4372,3.3536,-2.8104
4.8900,20.4540,3.2741,-2.7461
4.8950,20.4701,3.2042,-2.6896
4.9000,20.4864,3.1467,-2.6435
4.9050,20.5018,3.1041,-2.6096
4.9100,20.5172,3.0797,-2.5911
4.9150,20.5326,3.0755,-2.5895
4.9200,20.5480,3.0919,-2.6053
4.9250,20.5632,3.1317,-2.6408
4.9300,20.5792,3.1956,-2.6968
4.9350,20.5953,3.2829,-2.7726
4.9400,20.6121,3.3944,-2.8691
4.9450,20.6293,3.5303,-2.9865
4.9500,20.6476,3.6896,-3.1240
4.9550,20.6660,3.8712,-3.2807
4.9600,20.6859,4.0757,-3.4573
4.9650,20.7069,4.3017,-3.6527
4.9700,20.7291,4.5495,-3.8673
4.9750,20.7525,4.8170,-4.0993
4.9800,20.7774,5.1028,-4.3477
4.9850,20.8030,5.4067,-4.6124
4.9900,20.8313,5.7251,-4.8907
4.9950,20.8603,6.0553,-5.1800
